latitude	longitude	store_name	code	location	imei
-11.48472	-37.93278	Rio Real	BR	America/Bahia	863033069630348404
14.62072	74.83554	Sirsi	IN	Asia/Kolkata	8630330696303481412
54.84444	38.16694	Kashira	RU	Europe/Moscow	8630330696303481586
42.4251	-71.06616	Malden	US	America/New_York	3590433799317661503
37.1759	128.9889	T’aebaek	KR	Asia/Seoul	3590433799317661016
-1.26753	116.82887	Balikpapan	ID	Asia/Makassar	3590433799317661628
40.81	-73.9625	Morningside Heights	US	America/New_York	359043379931766627
-7.51611	109.05389	Wangon	ID	Asia/Jakarta	8630330696303481446
6.25947	102.05461	Tak Bai	TH	Asia/Bangkok	359043379931766015
37.05944	37.3825	Gaziantep	TR	Europe/Istanbul	3590433799317661784
6.95194	121.96361	Recodo	PH	Asia/Manila	8630330696303481453
52.68333	0.93333	East Dereham	GB	Europe/London	3590433799317662253
32.65246	51.67462	Isfahan	IR	Asia/Tehran	3590433799317662139
4.94273	15.87735	Carnot	CF	Africa/Bangui	8630330696303481511
34.9	137.5	Shinshiro	JP	Asia/Tokyo	359043379931766387
45.43341	-73.86586	Beaconsfield	CA	America/Toronto	863033069630348289
40.5576	-74.28459	Woodbridge	US	America/New_York	359043379931766114
35.72917	10.58082	Msaken	TN	Africa/Tunis	359043379931766411
34.31	-2.16	Jerada	MA	Africa/Casablanca	8630330696303481149
34.77453	-96.67834	Ada	US	America/Chicago	8630330696303481560
34.85	117.33333	Taozhuang	CN	Asia/Shanghai	8630330696303482071
30.81383	75.16878	Moga	IN	Asia/Kolkata	3590433799317661578
25.75728	75.37991	Deoli	IN	Asia/Kolkata	359043379931766858
48.8449	17.22635	Skalica	SK	Europe/Bratislava	8630330696303481511
-8.28333	-35.03333	Cabo	BR	America/Recife	359043379931766957
29.98869	122.20488	Zhoushan	CN	Asia/Shanghai	863033069630348982
36.6009	126.665	Hongseong	KR	Asia/Seoul	8630330696303482196
68.79833	16.54165	Harstad	NO	Europe/Oslo	3590433799317661537
43.91452	-69.96533	Brunswick	US	America/New_York	3590433799317661735
51.30001	13.10984	Oschatz	DE	Europe/Berlin	3590433799317661115
49.195061	16.606836	Brno	CZ	Europe/Prague	8630330696303481107
36.82167	128.63083	Eisen	KR	Asia/Seoul	8630330696303482055
42.7	27.25	Aytos	BG	Europe/Sofia	8630330696303481420
33.35283	-111.78903	Gilbert	US	America/Phoenix	3590433799317661800
48.21644	9.02596	Albstadt	DE	Europe/Berlin	3590433799317661248
43.32686	-2.98884	Leioa	ES	Europe/Madrid	863033069630348925
45.16024	-93.08883	Lino Lakes	US	America/Chicago	3590433799317661875
-19.72806	-50.19556	Iturama	BR	America/Sao_Paulo	8630330696303481875
10.98778	-74.95472	Puerto Colombia	CO	America/Bogota	3590433799317661842
51.88333	8.51667	Verl	DE	Europe/Berlin	3590433799317661461
48.35693	10.98461	Friedberg	DE	Europe/Berlin	359043379931766551
-6.25	38.66667	Mvomero	TZ	Africa/Dar_es_Salaam	359043379931766528
-21.41222	-42.19667	Miracema	BR	America/Sao_Paulo	3590433799317661388
52.21099	7.02238	Gronau	DE	Europe/Berlin	8630330696303482014
55.82885	-4.21376	Rutherglen	GB	Europe/London	8630330696303482055
3.8801	-77.03116	Buenaventura	CO	America/Bogota	359043379931766353
8.48714	-13.2356	Freetown	SL	Africa/Freetown	863033069630348412
53.46506	-1.47217	Chapletown	GB	Europe/London	3590433799317661800
41.09246	45.36561	Qazax	AZ	Asia/Baku	3590433799317661727
39.00622	-77.4286	Sterling	US	America/New_York	359043379931766833
50.06	43.2379	Mikhaylovka	RU	Europe/Volgograd	8630330696303481875
20.74122	-100.44843	Santa Rosa Jauregui	MX	America/Mexico_City	863033069630348628
39.08367	-84.50855	Covington	US	America/New_York	863033069630348578
40.82232	-74.15987	Nutley	US	America/New_York	8630330696303482345
32.44874	-99.73314	Abilene	US	America/Chicago	359043379931766296
41.84364	-87.71255	South Lawndale	US	America/Chicago	863033069630348560
51.65	-0.2	Barnet	GB	Europe/London	3590433799317662295
34.25	135.31667	Iwade	JP	Asia/Tokyo	359043379931766254
-30.60106	-71.19901	Ovalle	CL	America/Santiago	8630330696303481057
21.34222	71.30633	Kundla	IN	Asia/Kolkata	8630330696303481164
43.35071	46.10925	Gudermes	RU	Europe/Moscow	8630330696303481347
40.53123	17.58522	Francavilla Fontana	IT	Europe/Rome	863033069630348412
41.41204	2.18247	el Camp de l'Arpa del Clot	ES	Europe/Madrid	8630330696303481669
-21.205	-41.88778	Itaperuna	BR	America/Sao_Paulo	8630330696303481263
-37.32167	-59.13316	Tandil	AR	America/Argentina/Buenos_Aires	3590433799317661446
56.03361	35.96944	Volokolamsk	RU	Europe/Moscow	8630330696303481065
32.50611	120.14278	Jiangyan	CN	Asia/Shanghai	3590433799317661784
32.9156	-117.14392	Mira Mesa	US	America/Los_Angeles	359043379931766924
4.92675	6.26764	Yenagoa	NG	Africa/Lagos	3590433799317661297
42.62833	20.89389	Glogovac	XK	Europe/Belgrade	863033069630348958
54.52156	9.5586	Schleswig	DE	Europe/Berlin	8630330696303482451
10.63504	-85.43772	Liberia	CR	America/Costa_Rica	8630330696303481297
18.20854	-71.10077	Santa Cruz de Barahona	DO	America/Santo_Domingo	8630330696303482154
23.5654	119.58627	Magong	TW	Asia/Taipei	8630330696303481412
